지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
156,2020-08-01 00:01,25.6,0,221.5,1.2,1005.7,1014,97.2,0,0
156,2020-08-01 00:02,25.5,0,229.8,.9,1005.7,1014,97.2,0,0
156,2020-08-01 00:03,25.5,0,213,1.1,1005.7,1014,97.3,0,0
156,2020-08-01 00:04,25.5,0,215.1,1.2,1005.7,1014,97.3,0,0
156,2020-08-01 00:05,25.5,0,208.3,.7,1005.7,1014,97.4,0,0
156,2020-08-01 00:06,25.5,0,208.5,.9,1005.7,1014,97.4,0,0
156,2020-08-01 00:07,25.5,0,221.8,1.2,1005.7,1014,97.5,0,0
156,2020-08-01 00:08,25.5,0,226.8,1.6,1005.7,1014,97.6,0,0
156,2020-08-01 00:09,25.5,0,235.3,1.3,1005.7,1014,97.6,0,0
156,2020-08-01 00:10,25.5,0,248.2,1.4,1005.7,1014,97.6,0,0
156,2020-08-01 00:11,25.5,0,226.2,.7,1005.6,1013.9,97.6,0,0
156,2020-08-01 00:12,25.4,0,190.4,.1,1005.6,1013.9,97.6,0,0
156,2020-08-01 00:13,25.4,0,199.4,.8,1005.6,1013.9,97.6,.01,0
156,2020-08-01 00:14,25.3,0,203.5,.5,1005.6,1013.9,97.7,.01,0
156,2020-08-01 00:15,25.3,0,211.9,.3,1005.6,1013.9,97.7,.01,0
156,2020-08-01 00:16,25.3,0,187.2,.6,1005.6,1013.9,97.7,.01,0
156,2020-08-01 00:17,25.4,0,196.6,.9,1005.6,1013.9,97.7,.01,0
156,2020-08-01 00:18,25.4,0,216.4,1.3,1005.6,1013.9,97.8,.01,0
156,2020-08-01 00:19,25.4,0,226.2,1.6,1005.6,1013.9,97.8,.01,0
156,2020-08-01 00:20,25.4,0,208.7,1.1,1005.6,1013.9,97.8,.01,0
156,2020-08-01 00:21,25.3,0,218.8,1.8,1005.6,1013.9,97.8,.01,0
156,2020-08-01 00:22,25.3,0,217.9,1.8,1005.7,1014,97.8,.01,0
156,2020-08-01 00:23,25.3,0,212.4,1.8,1005.7,1014,97.9,.01,0
156,2020-08-01 00:24,25.3,0,211.5,1.5,1005.7,1014,97.9,.01,0
156,2020-08-01 00:25,25.3,0,213.2,1.4,1005.7,1014,97.9,.01,0
156,2020-08-01 00:26,25.3,0,217.3,1.5,1005.7,1014,97.9,.01,0
156,2020-08-01 00:27,25.3,0,207.2,1.1,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:28,25.3,0,227.2,1,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:29,25.3,0,207.5,.7,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:30,25.4,0,216.6,1,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:31,25.3,0,215.4,.9,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:32,25.3,0,203.2,1.1,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:33,25.2,0,197.3,1.6,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:34,25.2,0,205.8,1.4,1005.6,1013.9,97.9,.02,0
156,2020-08-01 00:35,25.2,0,208.4,1.7,1005.6,1013.9,98,.02,0
156,2020-08-01 00:36,25.2,0,202.5,1.3,1005.6,1013.9,98,.02,0
156,2020-08-01 00:37,25.2,0,212.1,.9,1005.6,1013.9,98,.02,0
156,2020-08-01 00:38,25.2,0,236.1,.7,1005.6,1013.9,98,.02,0
156,2020-08-01 00:39,25.3,0,240.3,1,1005.6,1013.9,98,.03,0
156,2020-08-01 00:40,25.3,0,212.6,.6,1005.6,1013.9,98,.03,0
156,2020-08-01 00:41,25.2,0,223.7,1.3,1005.5,1013.8,98,.03,0
156,2020-08-01 00:42,25.2,0,224.9,1.5,1005.5,1013.8,98,.03,0
156,2020-08-01 00:43,25.2,0,225.5,1,1005.5,1013.8,98,.03,0
156,2020-08-01 00:44,25.3,0,221.7,1,1005.5,1013.8,97.9,.03,0
156,2020-08-01 00:45,25.3,0,225.6,.8,1005.5,1013.8,97.9,.03,0
156,2020-08-01 00:46,25.3,0,219.2,1,1005.5,1013.8,97.9,.03,0
156,2020-08-01 00:47,25.3,0,233.3,1.1,1005.5,1013.8,97.9,.03,0
156,2020-08-01 00:48,25.3,0,211.9,1,1005.5,1013.8,97.8,.03,0
156,2020-08-01 00:49,25.4,0,206.1,.8,1005.5,1013.8,97.7,.03,0
156,2020-08-01 00:50,25.4,0,205.9,.7,1005.5,1013.8,97.7,.03,0
156,2020-08-01 00:51,25.4,0,208.8,.6,1005.5,1013.8,97.7,.03,0
156,2020-08-01 00:52,25.4,0,211.7,.8,1005.5,1013.8,97.6,.04,0
156,2020-08-01 00:53,25.4,0,212.6,.8,1005.5,1013.8,97.6,.04,0
156,2020-08-01 00:54,25.4,0,218,.8,1005.5,1013.8,97.5,.04,0
156,2020-08-01 00:55,25.4,0,202.2,.7,1005.5,1013.8,97.4,.04,0
156,2020-08-01 00:56,25.4,0,229.4,1,1005.5,1013.8,97.3,.04,0
156,2020-08-01 00:57,25.4,0,226,.5,1005.4,1013.7,97.3,.04,0
156,2020-08-01 00:58,25.4,0,218.6,.6,1005.4,1013.7,97.2,.04,0
156,2020-08-01 00:59,25.4,0,218.9,1,1005.4,1013.7,97.3,.04,0
156,2020-08-01 01:00,25.4,0,219.8,1,1005.4,1013.7,97.2,.04,0
156,2020-08-01 01:01,25.3,0,228.5,.7,1005.4,1013.7,97.2,.04,0
156,2020-08-01 01:02,25.3,0,244.1,.6,1005.4,1013.7,97.2,.04,0
156,2020-08-01 01:03,25.3,0,232.8,.6,1005.4,1013.7,97.2,.04,0
156,2020-08-01 01:04,25.3,0,230.9,.7,1005.4,1013.7,97.3,.04,0
156,2020-08-01 01:05,25.3,0,231.1,.4,1005.4,1013.7,97.3,.05,0
156,2020-08-01 01:06,25.4,0,213.1,0,1005.4,1013.7,97.3,.05,0
156,2020-08-01 01:07,25.3,0,202.2,0,1005.4,1013.7,97.2,.05,0
156,2020-08-01 01:08,25.3,0,204.8,0,1005.4,1013.7,97.3,.05,0
156,2020-08-01 01:09,25.4,0,212.3,.1,1005.5,1013.8,97.3,.05,0
156,2020-08-01 01:10,25.4,0,227.8,.5,1005.5,1013.8,97.3,.05,0
156,2020-08-01 01:11,25.4,0,215.5,.4,1005.5,1013.8,97.2,.05,0
156,2020-08-01 01:12,25.4,0,215.9,.4,1005.5,1013.8,97.2,.05,0
156,2020-08-01 01:13,25.3,0,218.2,.4,1005.5,1013.8,97.2,.05,0
156,2020-08-01 01:14,25.4,0,195.6,1,1005.5,1013.8,97.2,.05,0
156,2020-08-01 01:15,25.4,0,191.9,1.4,1005.5,1013.8,97.2,.05,0
156,2020-08-01 01:16,25.4,0,189,1.3,1005.5,1013.8,97.2,.05,0
