지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
152,2020-04-01 00:01,9.8,0,305.8,1.1,1004.2,1014.3,91.6,0,0
152,2020-04-01 00:02,9.8,0,305.5,1.6,1004.2,1014.3,91.4,0,0
152,2020-04-01 00:03,9.8,0,304.4,1.6,1004.2,1014.3,91.2,0,0
152,2020-04-01 00:04,9.8,0,304.8,1.6,1004.2,1014.3,91.1,0,0
152,2020-04-01 00:05,9.8,0,306.2,2,1004.2,1014.3,91.1,0,0
152,2020-04-01 00:06,9.9,0,308.9,2.1,1004.2,1014.3,90.9,0,0
152,2020-04-01 00:07,9.8,0,310.9,2.2,1004.2,1014.3,90.7,0,0
152,2020-04-01 00:08,9.8,0,308,2.5,1004.2,1014.3,90.4,0,0
152,2020-04-01 00:09,9.8,0,307.8,2.7,1004.2,1014.3,90.3,0,0
152,2020-04-01 00:10,9.7,0,310.3,2.5,1004.2,1014.2,90.3,0,0
152,2020-04-01 00:11,9.7,0,304.2,2.6,1004.2,1014.2,90.4,0,0
152,2020-04-01 00:12,9.7,0,303.9,2.9,1004.2,1014.2,90.3,0,0
152,2020-04-01 00:13,9.7,0,304.6,3.2,1004.2,1014.2,90.3,0,0
152,2020-04-01 00:14,9.7,0,305.8,3.2,1004.2,1014.2,90.2,0,0
152,2020-04-01 00:15,9.7,0,305.7,3.1,1004.2,1014.2,90.2,0,0
152,2020-04-01 00:16,9.7,0,306.9,3.1,1004.2,1014.2,90,0,0
152,2020-04-01 00:17,9.7,0,306.4,3.2,1004.1,1014.1,89.8,0,0
152,2020-04-01 00:18,9.7,0,302.9,3.1,1004.1,1014.1,89.7,0,0
152,2020-04-01 00:19,9.7,0,306.2,2.9,1004.1,1014.1,89.7,0,0
152,2020-04-01 00:20,9.7,0,306.8,2.8,1004.1,1014.1,89.5,0,0
152,2020-04-01 00:21,9.7,0,307.9,2.6,1004.2,1014.2,89.4,0,0
152,2020-04-01 00:22,9.7,0,306.6,2.5,1004.2,1014.2,89.3,0,0
152,2020-04-01 00:23,9.7,0,308.7,2.6,1004.2,1014.2,89.4,0,0
152,2020-04-01 00:24,9.8,0,306.2,2.4,1004.2,1014.3,89.4,0,0
152,2020-04-01 00:25,9.8,0,312.5,2.3,1004.1,1014.2,89.4,0,0
152,2020-04-01 00:26,9.8,0,311.6,2.2,1004.1,1014.2,89.4,0,0
152,2020-04-01 00:27,9.8,0,309.7,1.6,1004.1,1014.2,89.3,0,0
152,2020-04-01 00:28,9.8,0,310.4,1.7,1004.1,1014.2,89.2,0,0
152,2020-04-01 00:29,9.8,0,310,1.7,1004,1014.1,89.2,0,0
152,2020-04-01 00:30,9.9,0,319.8,1.4,1004,1014.1,89.2,0,0
152,2020-04-01 00:31,9.9,0,323.8,1.3,1004,1014.1,89.2,0,0
152,2020-04-01 00:32,9.9,0,331.6,1.5,1003.9,1014,89.2,0,0
152,2020-04-01 00:33,9.9,0,336.2,1.4,1003.9,1014,89.3,0,0
152,2020-04-01 00:34,9.9,0,328.9,1.1,1003.9,1014,89.2,0,0
152,2020-04-01 00:35,9.8,0,320.9,1,1003.8,1013.9,89.1,0,0
152,2020-04-01 00:36,9.8,0,330.1,1,1003.8,1013.9,89.3,0,0
152,2020-04-01 00:37,9.8,0,320.9,.8,1003.8,1013.9,89.3,0,0
152,2020-04-01 00:38,9.8,0,335.7,.9,1003.7,1013.8,89.3,0,0
152,2020-04-01 00:39,9.8,0,341.5,.9,1003.7,1013.8,89.3,0,0
152,2020-04-01 00:40,9.7,0,4.9,.7,1003.6,1013.6,89.3,0,0
152,2020-04-01 00:41,9.7,0,344.1,1,1003.6,1013.6,89.2,0,0
152,2020-04-01 00:42,9.6,0,343.7,1.5,1003.5,1013.5,89.4,0,0
152,2020-04-01 00:43,9.6,0,334.3,1.3,1003.5,1013.5,89.6,0,0
152,2020-04-01 00:44,9.7,0,336.9,1,1003.4,1013.4,89.9,0,0
152,2020-04-01 00:45,9.7,0,339,1.1,1003.4,1013.4,90.1,0,0
152,2020-04-01 00:46,9.8,0,336.6,.7,1003.4,1013.5,90.2,0,0
152,2020-04-01 00:47,9.8,0,349.8,.7,1003.4,1013.5,90.2,0,0
152,2020-04-01 00:48,9.8,0,2.2,.5,1003.4,1013.5,90.2,0,0
152,2020-04-01 00:49,9.7,0,3.5,.5,1003.4,1013.4,90,0,0
152,2020-04-01 00:50,9.6,0,4.1,.4,1003.3,1013.3,90,0,0
152,2020-04-01 00:51,9.6,0,7.7,.5,1003.3,1013.3,90.1,0,0
152,2020-04-01 00:52,9.6,0,6.2,.4,1003.3,1013.3,90.1,0,0
152,2020-04-01 00:53,9.5,0,6.5,.4,1003.2,1013.2,90.2,0,0
152,2020-04-01 00:54,9.5,0,5.6,.5,1003.2,1013.2,90.2,0,0
152,2020-04-01 00:55,9.5,0,322.8,.7,1003.2,1013.2,90.3,0,0
152,2020-04-01 00:56,9.5,0,294.1,.8,1003.2,1013.2,90.4,0,0
152,2020-04-01 00:57,9.5,0,301.6,.7,1003.2,1013.2,90.6,0,0
152,2020-04-01 00:58,9.6,0,310.2,.9,1003.2,1013.2,90.9,0,0
152,2020-04-01 00:59,9.6,0,310.8,1,1003.2,1013.2,91,0,0
152,2020-04-01 01:00,9.6,0,305,1.3,1003.2,1013.2,91.2,0,0
152,2020-04-01 01:01,9.7,0,302.1,1.8,1003.2,1013.2,91.4,0,0
152,2020-04-01 01:02,9.8,0,299.8,1.7,1003.2,1013.3,91.7,0,0
152,2020-04-01 01:03,9.8,0,302.7,1.9,1003.2,1013.3,91.8,0,0
152,2020-04-01 01:04,9.8,0,303.9,1.8,1003.2,1013.3,91.8,0,0
152,2020-04-01 01:05,9.8,0,296,1.6,1003.2,1013.3,91.8,0,0
152,2020-04-01 01:06,9.8,0,289.7,1.4,1003.2,1013.3,91.7,0,0
152,2020-04-01 01:07,9.8,0,306.8,1.3,1003.2,1013.3,91.7,0,0
152,2020-04-01 01:08,9.8,0,276.5,1,1003.2,1013.3,91.8,0,0
152,2020-04-01 01:09,9.8,0,269.2,.6,1003.2,1013.3,91.8,0,0
152,2020-04-01 01:10,9.8,0,281.9,1,1003.2,1013.3,91.8,0,0
152,2020-04-01 01:11,9.8,0,296.9,.8,1003.2,1013.3,91.8,0,0
152,2020-04-01 01:12,9.8,0,292,.5,1003.2,1013.3,91.9,0,0
152,2020-04-01 01:13,9.8,0,295.9,.3,1003.2,1013.3,92,0,0
152,2020-04-01 01:14,9.8,0,298.1,.3,1003.2,1013.3,92,0,0
152,2020-04-01 01:15,9.8,0,312.8,.3,1003.2,1013.3,92,0,0
152,2020-04-01 01:16,9.8,0,0,0,1003.1,1013.2,92,0,0
152,2020-04-01 01:17,9.8,0,331.2,.5,1003.1,1013.2,92.2,0,0
152,2020-04-01 01:18,9.9,0,331,.4,1003.1,1013.2,92.3,0,0
152,2020-04-01 01:19,9.9,0,0,.1,1003.1,1013.2,92.3,0,0
152,2020-04-01 01:20,10,0,0,.1,1003.1,1013.2,92.2,0,0
152,2020-04-01 01:21,10,0,0,0,1003.1,1013.2,92.2,0,0
152,2020-04-01 01:22,9.9,0,90,.8,1003.1,1013.2,92.1,0,0
152,2020-04-01 01:23,9.7,0,92.8,1,1003.1,1013.1,91.6,0,0
152,2020-04-01 01:24,9.5,0,100.1,1,1003.1,1013.1,91.5,0,0
152,2020-04-01 01:25,9.5,0,119,.9,1003.1,1013.1,91.7,0,0
