지점,시간,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
176,2015-05-01 00:01,16.1,0,112.7,.5,1008.4,1014.2,90.7,0,0
176,2015-05-01 00:02,16,0,112.2,.6,1008.4,1014.2,90.9,0,0
176,2015-05-01 00:03,16,0,112.1,.6,1008.4,1014.2,91,0,0
176,2015-05-01 00:04,16,0,111.7,.7,1008.4,1014.2,91.2,0,0
176,2015-05-01 00:05,15.9,0,112,.8,1008.4,1014.2,91.4,0,0
176,2015-05-01 00:06,15.9,0,111.1,.8,1008.4,1014.2,91.5,0,0
176,2015-05-01 00:07,15.8,0,106.6,.8,1008.3,1014.1,91.7,0,0
176,2015-05-01 00:08,15.7,0,106.5,.8,1008.3,1014.1,91.9,0,0
176,2015-05-01 00:09,15.7,0,100.5,.7,1008.3,1014.1,92.1,0,0
176,2015-05-01 00:10,15.6,0,93.8,.6,1008.3,1014.1,92.2,0,0
176,2015-05-01 00:11,15.7,0,88.4,.6,1008.3,1014.1,92.7,0,0
176,2015-05-01 00:12,15.8,0,82.1,.6,1008.3,1014.1,93,0,0
176,2015-05-01 00:13,15.8,0,76.4,.6,1008.3,1014.1,93.1,0,0
176,2015-05-01 00:14,15.8,0,69.8,.5,1008.3,1014.1,93.1,0,0
176,2015-05-01 00:15,15.8,0,64.6,.5,1008.3,1014.1,93.1,0,0
176,2015-05-01 00:16,15.9,0,63.1,.5,1008.3,1014.1,93.1,0,0
176,2015-05-01 00:17,15.8,0,64.7,.5,1008.3,1014.1,93,0,0
176,2015-05-01 00:18,15.8,0,66,.6,1008.2,1014,92.9,0,0
176,2015-05-01 00:19,15.7,0,69,.6,1008.2,1014,92.8,0,0
176,2015-05-01 00:20,15.7,0,71.3,.7,1008.2,1014,92.7,0,0
176,2015-05-01 00:21,15.7,0,71.7,.7,1008.2,1014,92.5,0,0
176,2015-05-01 00:22,15.8,0,73.7,.6,1008.2,1014,92.6,0,0
176,2015-05-01 00:23,15.7,0,76.1,.6,1008.2,1014,92.7,0,0
176,2015-05-01 00:24,15.7,0,81.5,.6,1008.2,1014,92.9,0,0
176,2015-05-01 00:25,15.6,0,86.3,.6,1008.1,1013.9,93.1,0,0
176,2015-05-01 00:26,15.6,0,88.1,.6,1008.1,1013.9,93.3,0,0
176,2015-05-01 00:27,15.5,0,91.1,.5,1008.1,1013.9,93.6,0,0
176,2015-05-01 00:28,15.5,0,94.8,.5,1008.1,1013.9,93.9,0,0
176,2015-05-01 00:29,15.5,0,98.4,.5,1008.1,1013.9,94.2,0,0
176,2015-05-01 00:30,15.4,0,103.6,.5,1008.1,1013.9,94.4,0,0
176,2015-05-01 00:31,15.4,0,108.8,.5,1008.1,1013.9,94.5,0,0
176,2015-05-01 00:32,15.4,0,113.4,.5,1008,1013.8,94.7,0,0
176,2015-05-01 00:33,15.4,0,116.8,.5,1008,1013.8,94.8,0,0
176,2015-05-01 00:34,15.4,0,118.5,.5,1008,1013.8,94.9,0,0
176,2015-05-01 00:35,15.4,0,119.9,.6,1008,1013.8,95,0,0
176,2015-05-01 00:36,15.4,0,123,.6,1008,1013.8,95.1,0,0
176,2015-05-01 00:37,15.4,0,124.4,.6,1008,1013.8,95.2,0,0
176,2015-05-01 00:38,15.4,0,125.1,.6,1008,1013.8,95.1,0,0
176,2015-05-01 00:39,15.3,0,125.3,.6,1008,1013.8,95.1,0,0
176,2015-05-01 00:40,15.3,0,124.3,.6,1008,1013.8,95.1,0,0
176,2015-05-01 00:41,15.3,0,123.2,.7,1008,1013.8,95.2,0,0
176,2015-05-01 00:42,15.3,0,121.8,.7,1008,1013.8,95.2,0,0
176,2015-05-01 00:43,15.3,0,119.7,.7,1008,1013.8,95.3,0,0
176,2015-05-01 00:44,15.3,0,116.4,.7,1008,1013.8,95.4,0,0
176,2015-05-01 00:45,15.3,0,112.1,.7,1008,1013.8,95.5,0,0
176,2015-05-01 00:46,15.3,0,106.6,.8,1008,1013.8,95.5,0,0
176,2015-05-01 00:47,15.3,0,101.1,.8,1008,1013.8,95.4,0,0
176,2015-05-01 00:48,15.2,0,95.9,.8,1008,1013.8,95.4,0,0
176,2015-05-01 00:49,15.2,0,90.7,.8,1008,1013.8,95.5,0,0
176,2015-05-01 00:50,15.2,0,85.2,.8,1008,1013.8,95.5,0,0
176,2015-05-01 00:51,15.2,0,78.9,.8,1008,1013.8,95.6,0,0
176,2015-05-01 00:52,15.2,0,73.1,.7,1008,1013.8,95.7,0,0
176,2015-05-01 00:53,15.2,0,67.6,.7,1008,1013.8,95.8,0,0
176,2015-05-01 00:54,15.2,0,63.2,.7,1008,1013.8,95.8,0,0
176,2015-05-01 00:55,15.1,0,59.4,.7,1008,1013.8,95.9,0,0
176,2015-05-01 00:56,15.1,0,58,.6,1008,1013.8,95.8,0,0
176,2015-05-01 00:57,15.2,0,58.4,.7,1008,1013.8,95.8,0,0
176,2015-05-01 00:58,15.2,0,60.4,.7,1008,1013.8,95.7,0,0
176,2015-05-01 00:59,15.2,0,61.9,.8,1007.9,1013.7,95.4,0,0
176,2015-05-01 01:00,15.3,0,63.6,.8,1007.9,1013.7,95.2,0,0
176,2015-05-01 01:01,15.3,0,63.9,.8,1007.9,1013.7,95.1,0,0
176,2015-05-01 01:02,15.3,0,67.8,.8,1007.9,1013.7,94.8,0,0
176,2015-05-01 01:03,15.3,0,70.7,.9,1007.9,1013.7,94.6,0,0
176,2015-05-01 01:04,15.2,0,71.7,.8,1007.9,1013.7,94.4,0,0
176,2015-05-01 01:05,15.2,0,72.8,.8,1007.9,1013.7,94.5,0,0
176,2015-05-01 01:06,15.2,0,73.4,.8,1007.9,1013.7,94.5,0,0
176,2015-05-01 01:07,15.2,0,74.4,.7,1007.9,1013.7,94.5,0,0
176,2015-05-01 01:08,15.2,0,75.7,.7,1007.9,1013.7,94.5,0,0
176,2015-05-01 01:09,15.2,0,80.1,.6,1007.9,1013.7,94.6,0,0
176,2015-05-01 01:10,15.2,0,86.7,.6,1007.9,1013.7,94.6,0,0
176,2015-05-01 01:11,15.2,0,97.4,.6,1007.9,1013.7,94.8,0,0
176,2015-05-01 01:12,15.2,0,105.5,.7,1007.9,1013.7,94.9,0,0
176,2015-05-01 01:13,15.2,0,116.4,.7,1007.9,1013.7,94.9,0,0
176,2015-05-01 01:14,15.1,0,128.5,.8,1007.9,1013.7,95,0,0
176,2015-05-01 01:15,15.1,0,139.4,.8,1007.9,1013.7,95.1,0,0
176,2015-05-01 01:16,15.1,0,149.1,.8,1007.9,1013.7,95.2,0,0
176,2015-05-01 01:17,15,0,155.3,.9,1007.9,1013.7,95.3,0,0
176,2015-05-01 01:18,15,0,158.5,.9,1007.9,1013.7,95.4,0,0
176,2015-05-01 01:19,15,0,159.8,.9,1007.9,1013.7,95.5,0,0
176,2015-05-01 01:20,15,0,159.9,.8,1007.9,1013.7,95.6,0,0
176,2015-05-01 01:21,14.9,0,156.6,.8,1007.9,1013.7,95.7,0,0
176,2015-05-01 01:22,14.9,0,153.7,.7,1007.9,1013.7,95.8,0,0
176,2015-05-01 01:23,14.8,0,150.9,.7,1007.9,1013.7,95.9,0,0
176,2015-05-01 01:24,14.8,0,149.4,.7,1007.9,1013.7,96,0,0
176,2015-05-01 01:25,14.8,0,148.9,.7,1007.8,1013.6,96.2,0,0
176,2015-05-01 01:26,14.8,0,148.9,.6,1007.8,1013.6,96.3,0,0
176,2015-05-01 01:27,14.8,0,150,.6,1007.8,1013.6,96.3,0,0
176,2015-05-01 01:28,14.8,0,151.6,.7,1007.8,1013.6,96.4,0,0
176,2015-05-01 01:29,14.9,0,152.4,.7,1007.8,1013.6,96.5,0,0
176,2015-05-01 01:30,14.8,0,152.2,.7,1007.8,1013.6,96.5,0,0
176,2015-05-01 01:31,14.9,0,152.1,.7,1007.8,1013.6,96.5,0,0
176,2015-05-01 01:32,14.9,0,149.3,.7,1007.8,1013.6,96.6,0,0
176,2015-05-01 01:33,14.9,0,146.6,.6,1007.9,1013.7,96.6,0,0
176,2015-05-01 01:34,14.9,0,142.1,.6,1007.9,1013.7,96.6,0,0
