지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
263,2020-11-01 00:01,6.8,0,322.2,1.2,1022.2,1024,90.8,14.81,33780
263,2020-11-01 00:02,6.7,0,322.3,1.1,1022.2,1024,91.5,0,0
263,2020-11-01 00:03,6.8,0,314.9,.8,1022.2,1024,91.2,0,0
263,2020-11-01 00:04,6.7,0,302.5,.4,1022.2,1024,91.6,0,0
263,2020-11-01 00:05,6.7,0,284.2,.4,1022.1,1023.9,91.7,0,0
263,2020-11-01 00:06,6.7,0,0,0,1022.1,1023.9,91.3,0,0
263,2020-11-01 00:07,6.8,0,0,.1,1022,1023.8,91.8,0,0
263,2020-11-01 00:08,6.8,0,0,.1,1022,1023.8,91.4,0,0
263,2020-11-01 00:09,6.8,0,0,0,1022,1023.8,92,0,0
263,2020-11-01 00:10,6.8,0,0,0,1022,1023.8,91.6,0,0
263,2020-11-01 00:11,6.8,0,0,0,1022,1023.8,92.2,0,0
263,2020-11-01 00:12,6.8,0,0,.1,1022,1023.8,91.5,0,0
263,2020-11-01 00:13,6.8,0,0,0,1022,1023.8,91.8,0,0
263,2020-11-01 00:14,6.9,0,341.8,.2,1022,1023.7,91.5,0,0
263,2020-11-01 00:15,6.8,0,347.8,.4,1022,1023.8,91.5,0,0
263,2020-11-01 00:16,6.8,0,350.1,.3,1022,1023.8,91.6,0,0
263,2020-11-01 00:17,6.8,0,344.3,.3,1022,1023.8,91.3,0,0
263,2020-11-01 00:18,6.8,0,326.5,.4,1022,1023.8,91.5,0,0
263,2020-11-01 00:19,6.7,0,327.9,.3,1022.1,1023.9,91.1,0,0
263,2020-11-01 00:20,6.7,0,319,.1,1022.1,1023.9,91.5,0,0
263,2020-11-01 00:21,6.7,0,0,0,1022.1,1023.9,91.1,0,0
263,2020-11-01 00:22,6.7,0,0,0,1022.1,1023.9,91.5,0,0
263,2020-11-01 00:23,6.7,0,0,0,1022.1,1023.9,91.1,0,0
263,2020-11-01 00:24,6.8,0,0,0,1022.1,1023.9,91.8,0,0
263,2020-11-01 00:25,6.8,0,0,0,1022.1,1023.9,91.3,0,0
263,2020-11-01 00:26,6.8,0,0,0,1022.2,1024,91.9,0,0
263,2020-11-01 00:27,6.7,0,0,0,1022.1,1023.9,91.2,0,0
263,2020-11-01 00:28,6.6,0,338,.2,1022.1,1023.9,91.6,0,0
263,2020-11-01 00:29,6.6,0,341.2,.2,1022.1,1023.9,91.3,0,0
263,2020-11-01 00:30,6.6,0,345.3,.1,1022,1023.8,91.9,0,0
263,2020-11-01 00:31,6.7,0,0,0,1022,1023.8,91.7,0,0
263,2020-11-01 00:32,6.6,0,0,0,1022,1023.8,91.6,0,0
263,2020-11-01 00:33,6.6,0,0,0,1022,1023.8,92,0,0
