지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
294,2020-04-01 00:01,11.8,0,302.4,.9,1009.1,1014.7,84.4,,0
294,2020-04-01 00:02,11.8,0,318.3,.7,1009.1,1014.7,84.5,,0
294,2020-04-01 00:03,11.8,0,302.6,.9,1009.1,1014.7,84.6,,0
294,2020-04-01 00:04,11.8,0,304.2,.5,1009.1,1014.7,84.6,,0
294,2020-04-01 00:05,11.8,0,302.9,.7,1009.1,1014.7,84.7,,0
294,2020-04-01 00:06,11.8,0,291.5,.8,1009.1,1014.7,84.8,,0
294,2020-04-01 00:07,11.8,0,293,.6,1009.1,1014.7,84.7,,0
294,2020-04-01 00:08,11.8,0,297.3,.6,1009.1,1014.7,84.7,,0
294,2020-04-01 00:09,11.8,0,296.7,.5,1009,1014.6,84.6,,0
294,2020-04-01 00:10,11.8,0,296.9,.6,1009,1014.6,84.6,,0
294,2020-04-01 00:11,11.9,0,311.9,.5,1009,1014.6,84.7,,0
294,2020-04-01 00:12,11.9,0,322.5,.5,1009,1014.6,84.6,,0
294,2020-04-01 00:13,11.9,0,319.6,.6,1008.9,1014.5,84.8,,0
294,2020-04-01 00:14,11.9,0,312.8,.4,1008.9,1014.5,84.9,,0
294,2020-04-01 00:15,11.9,0,324,.2,1008.9,1014.5,84.7,,0
294,2020-04-01 00:16,11.9,0,334.2,.1,1008.8,1014.4,84.6,,0
294,2020-04-01 00:17,11.8,0,342,.4,1008.8,1014.4,84.7,,0
294,2020-04-01 00:18,11.8,0,330.1,.4,1008.8,1014.4,85,,0
294,2020-04-01 00:19,11.8,0,311.2,.4,1008.8,1014.4,84.9,,0
294,2020-04-01 00:20,11.8,0,299.2,.5,1008.8,1014.4,84.9,,0
294,2020-04-01 00:21,11.8,0,286.7,.4,1008.7,1014.3,84.8,,0
294,2020-04-01 00:22,11.9,0,270.9,.4,1008.8,1014.4,84.7,,0
294,2020-04-01 00:23,11.9,0,258.8,.6,1008.8,1014.4,84.6,,0
294,2020-04-01 00:24,11.9,0,242.6,.5,1008.8,1014.4,84.5,,0
294,2020-04-01 00:25,11.9,0,251.5,.5,1008.8,1014.4,84.5,,0
294,2020-04-01 00:26,11.9,0,259.2,.7,1008.7,1014.3,84.5,,0
294,2020-04-01 00:27,11.9,0,258.3,.7,1008.7,1014.3,84.5,,0
294,2020-04-01 00:28,11.9,0,270.8,.4,1008.7,1014.3,84.5,,0
294,2020-04-01 00:29,11.9,0,278.2,.5,1008.6,1014.2,84.5,,0
294,2020-04-01 00:30,11.9,0,256.1,.3,1008.6,1014.2,84.5,,0
294,2020-04-01 00:31,11.9,0,252.4,.1,1008.6,1014.2,84.3,,0
294,2020-04-01 00:32,11.9,0,246.7,0,1008.6,1014.2,84.2,,0
294,2020-04-01 00:33,11.9,0,247.4,0,1008.6,1014.2,84,,0
294,2020-04-01 00:34,11.9,0,218.8,.1,1008.6,1014.2,84.1,,0
294,2020-04-01 00:35,11.9,0,0,0,1008.5,1014.1,84,,0
294,2020-04-01 00:36,11.9,0,0,0,1008.5,1014.1,84,,0
294,2020-04-01 00:37,11.9,0,0,0,1008.4,1014,84.1,,0
294,2020-04-01 00:38,11.9,0,336.8,.1,1008.4,1014,84.1,,0
294,2020-04-01 00:39,11.9,0,324.7,.7,1008.4,1014,84.2,,0
294,2020-04-01 00:40,11.9,0,324.6,.6,1008.4,1014,84.4,,0
294,2020-04-01 00:41,11.9,0,315.7,.7,1008.3,1013.9,84.7,,0
294,2020-04-01 00:42,11.8,0,303.3,.7,1008.3,1013.9,84.8,,0
294,2020-04-01 00:43,11.8,0,306.2,.7,1008.3,1013.9,84.9,,0
294,2020-04-01 00:44,11.8,0,307.9,.7,1008.2,1013.8,85,,0
294,2020-04-01 00:45,11.8,0,302.8,.8,1008.2,1013.8,85.1,,0
294,2020-04-01 00:46,11.7,0,302.5,.9,1008.2,1013.8,85.4,,0
294,2020-04-01 00:47,11.7,0,295.2,1,1008.2,1013.8,85.4,,0
294,2020-04-01 00:48,11.7,0,292.2,1.1,1008.2,1013.8,85.6,,0
294,2020-04-01 00:49,11.7,0,292.2,1,1008.2,1013.8,85.7,,0
294,2020-04-01 00:50,11.6,0,292.1,.8,1008.2,1013.8,85.7,,0
294,2020-04-01 00:51,11.6,0,295.9,.8,1008.2,1013.8,85.8,,0
294,2020-04-01 00:52,11.6,0,299.7,.8,1008.2,1013.8,85.9,,0
294,2020-04-01 00:53,11.6,0,297.3,.7,1008.2,1013.8,85.9,,0
294,2020-04-01 00:54,11.6,0,297.2,.7,1008.2,1013.8,85.9,,0
294,2020-04-01 00:55,11.6,0,299.2,.7,1008.2,1013.8,85.9,,0
294,2020-04-01 00:56,11.6,0,300.3,.8,1008.2,1013.8,86,,0
294,2020-04-01 00:57,11.6,0,294.7,.8,1008.2,1013.8,85.9,,0
294,2020-04-01 00:58,11.6,0,293.8,.8,1008.2,1013.8,85.9,,0
294,2020-04-01 00:59,11.6,0,286.5,.7,1008.1,1013.7,85.9,,0
294,2020-04-01 01:00,11.6,0,289.3,.8,1008.1,1013.7,85.9,,0
294,2020-04-01 01:01,11.6,0,289.5,.7,1008.1,1013.7,85.9,,0
294,2020-04-01 01:02,11.6,0,280.8,.5,1008.1,1013.7,85.8,,0
294,2020-04-01 01:03,11.6,0,291.4,.8,1008.1,1013.7,85.8,,0
294,2020-04-01 01:04,11.6,0,301.2,.9,1008.1,1013.7,85.8,,0
294,2020-04-01 01:05,11.6,0,286.9,1,1008.1,1013.7,85.9,,0
294,2020-04-01 01:06,11.6,0,297.7,.8,1008.1,1013.7,85.9,,0
294,2020-04-01 01:07,11.6,0,301.7,1,1008.1,1013.7,85.8,,0
294,2020-04-01 01:08,11.6,0,299.8,.9,1008.1,1013.7,85.7,,0
294,2020-04-01 01:09,11.6,0,292,.3,1008,1013.6,85.7,,0
294,2020-04-01 01:10,11.6,0,286.7,.8,1008,1013.6,85.9,,0
294,2020-04-01 01:11,11.6,0,279.9,.8,1008,1013.6,85.9,,0
